Model,Guidance,Informativeness,Relevance,Safety,Empathy,Helpfulness,Understanding,Overall Average,Rank
gpt4o,4.93,4.95,4.99,5.0,5.0,4.96,5.0,4.97,1
gemini,4.9,4.94,4.99,5.0,4.98,4.92,5.0,4.96,2
gpt4omini,4.89,4.89,4.99,5.0,5.0,4.91,4.99,4.95,3
claude,4.72,4.83,4.94,5.0,4.9,4.78,4.94,4.87,4
llama-3,4.64,4.65,4.97,4.99,4.97,4.7,4.97,4.84,5
ds-llama,4.65,4.5,4.96,5.0,4.96,4.72,4.97,4.82,6
ds-qwen,4.28,4.1,4.88,4.97,4.86,4.41,4.86,4.62,7
qwen-2,4.43,4.39,4.49,4.5,4.48,4.44,4.49,4.46,8
human,3.93,3.6,4.84,4.96,4.06,3.88,4.4,4.24,9
qwen-3,3.22,3.63,4.58,4.8,4.58,3.91,4.6,4.19,10
