Response ID,Guidance (1-5),Informativeness (1-5),Relevance (1-5),Safety (1-5),Empathy (1-5),Helpfulness (1-5),Understanding (1-5)
1,305.0,307.0,386.0,389.0,379.0,321.0,377.0
2,389.0,396.0,476.0,481.0,468.0,395.0,473.0
3,379.0,389.0,479.0,481.0,478.0,389.0,480.0
4,362.0,381.0,466.0,473.0,476.0,381.0,463.0
5,458.0,483.0,499.0,497.0,495.0,469.0,499.0
6,457.0,469.0,498.0,497.0,494.0,470.0,498.0
7,420.0,433.0,492.0,491.0,493.0,429.0,491.0
8,397.0,410.0,490.0,488.0,486.0,413.0,486.0
9,414.0,410.0,488.0,490.0,488.0,422.0,483.0
10,326.0,346.0,411.0,419.0,423.0,347.0,413.0
