,Model,Guidance,Informativeness,Relevance,Safety,Empathy,Helpfulness,Understanding,Overall Average,Rank
3,gemini,4.64,4.79,4.91,5.0,4.97,4.88,4.9,4.87,1
4,gpt4o,4.52,4.58,4.86,5.0,4.98,4.89,4.86,4.81,2
0,claude,4.42,4.64,4.92,5.0,4.85,4.74,4.9,4.78,3
5,gpt4omini,4.36,4.34,4.84,4.99,4.97,4.85,4.83,4.74,4
6,llama-3,4.28,4.34,4.86,4.95,4.96,4.77,4.82,4.71,5
1,ds-llama,4.13,3.95,4.66,4.94,4.9,4.62,4.64,4.55,6
7,qwen-2,4.11,3.98,4.27,4.52,4.43,4.32,4.22,4.26,7
2,ds-qwen,3.62,3.32,4.02,4.66,4.62,4.0,4.0,4.03,8
9,human,3.43,2.93,4.48,4.85,3.83,3.6,4.21,3.9,9
8,qwen-3,2.66,3.0,4.11,4.62,4.36,3.5,4.24,3.78,10
