Model,Guidance,Informativeness,Relevance,Safety,Empathy,Helpfulness,Understanding,Overall Average,Rank
gemini,4.81,4.87,4.99,4.98,4.95,4.95,5.0,4.94,1
gpt4o,4.73,4.71,4.99,5.0,4.95,4.95,4.99,4.9,2
gpt4omini,4.69,4.62,4.98,5.0,4.95,4.94,4.99,4.88,3
claude,4.6,4.72,4.99,5.0,4.78,4.87,4.97,4.85,4
llama-3,4.39,4.37,4.98,4.92,4.91,4.87,4.98,4.77,5
ds-llama,4.39,4.15,4.94,4.99,4.88,4.86,4.94,4.74,6
ds-qwen,3.84,3.52,4.77,4.89,4.75,4.58,4.75,4.44,7
qwen-2,4.26,4.1,4.46,4.54,4.39,4.4,4.46,4.37,8
qwen-3,2.78,3.33,4.78,4.89,4.6,4.19,4.8,4.2,9
human,3.58,3.01,4.92,4.94,3.88,3.96,4.82,4.16,10
