Model,Guidance,Informativeness,Relevance,Safety,Empathy,Helpfulness,Understanding,Overall Average,Rank
gemini,4.79,4.69,5.0,5.0,4.91,4.85,4.99,4.89,1
gpt4o,4.8,4.53,5.0,5.0,4.95,4.89,4.99,4.88,2
gpt4omini,4.74,4.41,5.0,5.0,4.94,4.85,4.99,4.84,3
claude,4.41,4.3,4.98,5.0,4.69,4.56,4.93,4.7,4
ds-llama,4.37,3.85,4.99,4.99,4.76,4.55,4.92,4.64,5
llama-3,4.21,3.95,5.0,4.99,4.78,4.5,4.95,4.63,6
ds-qwen,3.92,3.36,4.95,4.98,4.54,4.2,4.77,4.39,7
qwen-2,4.3,3.9,4.5,4.76,4.31,4.24,4.46,4.35,8
qwen-3,2.96,2.99,4.73,4.94,4.31,3.78,4.58,4.04,9
human,3.16,2.64,4.94,4.97,3.71,3.51,4.27,3.89,10
